## Correctness (213)
Code that is outright wrong or useless.
| Rule name                                           | Source     | Default | Enabled? | Fixable? |
| no-await-in-promise-methods                         | unicorn    | ✅      |          | 💡       |
| no-empty-file                                       | unicorn    | ✅      |          |          |
| no-invalid-fetch-options                            | unicorn    | ✅      |          |          |
| no-invalid-remove-event-listener                    | unicorn    | ✅      |          |          |
| no-new-array                                        | unicorn    | ✅      |          | 🚧       |
| no-single-promise-in-promise-methods                | unicorn    | ✅      |          | 🛠️        |
| no-thenable                                         | unicorn    | ✅      |          |          |
| no-unnecessary-await                                | unicorn    | ✅      |          | 🛠️        |
| no-useless-fallback-in-spread                       | unicorn    | ✅      |          | 🛠️        |
| no-useless-length-check                             | unicorn    | ✅      |          | 🚧       |
| no-useless-spread                                   | unicorn    | ✅      |          | ⚠️🛠️️       |
| prefer-set-size                                     | unicorn    | ✅      |          | 🛠️        |
| prefer-string-starts-ends-with                      | unicorn    | ✅      |          | 🛠️        |
| consistent-each-for                                 | vitest     |         |          |          |
| hoisted-apis-on-top                                 | vitest     |         |          | 💡       |
| no-conditional-tests                                | vitest     |         |          |          |
| require-local-test-context-for-concurrent-snapshots | vitest     |         |          | 🚧       |
| warn-todo                                           | vitest     |         |          |          |
| no-arrow-functions-in-watch                         | vue        |         |          |          |
| no-deprecated-destroyed-lifecycle                   | vue        |         |          | 🛠️        |
| no-export-in-script-setup                           | vue        |         |          |          |
| no-lifecycle-after-await                            | vue        |         |          |          |
| no-this-in-before-route-enter                       | vue        |         |          |          |
| prefer-import-from-vue                              | vue        |         |          | 🛠️        |
| valid-define-emits                                  | vue        |         |          | 🚧       |
| valid-define-props                                  | vue        |         |          | 🚧       |

## Perf (13)
Code that can be written to run faster.
| Rule name                         | Source     | Default | Enabled? | Fixable? |
| --------------------------------- | ---------- | ------- | -------- | -------- |
| no-await-in-loop                  | eslint     |         |          |          |
| no-useless-call                   | eslint     |         |          |          |
| no-accumulating-spread            | oxc        |         |          |          |
| no-map-spread                     | oxc        |         |          | 🛠️💡      |
| jsx-no-constructed-context-values | react      |         |          |          |
| no-array-index-key                | react      |         |          |          |
| jsx-no-jsx-as-prop                | react_perf |         |          |          |
| jsx-no-new-array-as-prop          | react_perf |         |          |          |
| jsx-no-new-function-as-prop       | react_perf |         |          |          |
| jsx-no-new-object-as-prop         | react_perf |         |          |          |
| prefer-array-find                 | unicorn    |         |          | 🚧       |
| prefer-array-flat-map             | unicorn    |         |          | 🛠️        |
| prefer-set-has                    | unicorn    |         |          | ⚠️🛠️️       |

## Restriction (89)
Lints which prevent the use of language and library features. Must not be enabled as a whole, should be considered on a case-by-case basis before enabling.
| Rule name                               | Source     | Default | Enabled? | Fixable? |
| --------------------------------------- | ---------- | ------- | -------- | -------- |
| class-methods-use-this                  | eslint     |         |          |          |
| complexity                              | eslint     |         |          |          |
| default-case                            | eslint     |         |          |          |
| no-alert                                | eslint     |         |          |          |
| no-bitwise                              | eslint     |         |          |          |
| no-console                              | eslint     |         | ✅       | 💡       |
| no-div-regex                            | eslint     |         |          | 🛠️        |
| no-empty                                | eslint     |         |          | 💡       |
| no-empty-function                       | eslint     |         |          | 🚧       |
| no-eq-null                              | eslint     |         |          | ⚠️🛠️️       |
| no-param-reassign                       | eslint     |         |          |          |
| no-plusplus                             | eslint     |         |          | 💡       |
| no-proto                                | eslint     |         |          | 🚧       |
| no-regex-spaces                         | eslint     |         |          | 🛠️        |
| no-restricted-globals                   | eslint     |         |          |          |
| no-restricted-imports                   | eslint     |         |          |          |
| no-sequences                            | eslint     |         |          |          |
| no-undefined                            | eslint     |         |          |          |
| no-use-before-define                    | eslint     |         |          |          |
| no-var                                  | eslint     |         |          | 🛠️        |
| no-void                                 | eslint     |         |          | 💡       |
| unicode-bom                             | eslint     |         |          | 🛠️        |
| extensions                              | import     |         |          |          |
| no-amd                                  | import     |         |          |          |
| no-commonjs                             | import     |         |          |          |
| no-cycle                                | import     |         |          |          |
| no-default-export                       | import     |         |          |          |
| no-dynamic-require                      | import     |         |          |          |
| no-relative-parent-imports              | import     |         |          |          |
| no-webpack-loader-syntax                | import     |         |          |          |
| unambiguous                             | import     |         |          |          |
| check-access                            | jsdoc      |         |          |          |
| empty-tags                              | jsdoc      |         |          | 🚧       |
| anchor-ambiguous-text                   | jsx_a11y   |         |          |          |
| handle-callback-err                     | node       |         |          |          |
| no-new-require                          | node       |         |          |          |
| no-path-concat                          | node       |         |          |          |
| no-process-env                          | node       |         |          |          |
| bad-bitwise-operator                    | oxc        |         |          | 💡       |
| no-async-await                          | oxc        |         |          |          |
| no-barrel-file                          | oxc        |         |          |          |
| no-const-enum                           | oxc        |         |          | 🛠️        |
| no-optional-chaining                    | oxc        |         |          |          |
| no-rest-spread-properties               | oxc        |         |          |          |
| catch-or-return                         | promise    |         |          |          |
| spec-only                               | promise    |         |          |          |
| button-has-type                         | react      |         |          |          |
| forbid-dom-props                        | react      |         |          |          |
| forbid-elements                         | react      |         |          |          |
| jsx-filename-extension                  | react      |         |          | 🚧       |
| no-clone-element                        | react      |         |          |          |
| no-danger                               | react      |         |          |          |
| no-multi-comp                           | react      |         | ✅       |          |
| no-react-children                       | react      |         |          |          |
| no-unknown-property                     | react      |         |          | 🚧       |
| only-export-components                  | react      |         |          |          |
| explicit-function-return-type           | typescript |         | ✅       |          |
| explicit-module-boundary-types          | typescript |         |          |          |
| no-dynamic-delete                       | typescript |         |          |          |
| no-empty-object-type                    | typescript |         |          | 🚧       |
| no-explicit-any                         | typescript |         |          | 🛠️        |
| no-import-type-side-effects             | typescript |         |          | 🛠️        |
| no-invalid-void-type                    | typescript |         |          |          |
| no-namespace                            | typescript |         |          |          |
| no-non-null-asserted-nullish-coalescing | typescript |         |          | 🚧       |
| no-non-null-assertion                   | typescript |         |          | 🚧       |
| no-require-imports                      | typescript |         |          | 🚧       |
| no-restricted-types                     | typescript |         |          | 🛠️💡      |
| no-var-requires                         | typescript |         |          |          |
| non-nullable-type-assertion-style       | typescript |         |          | 🛠️        |
| prefer-literal-enum-member              | typescript |         |          |          |
| promise-function-async                  | typescript |         |          | 🛠️        |
| use-unknown-in-catch-callback-variable  | typescript |         |          | 💡       |
| no-abusive-eslint-disable               | unicorn    |         |          |          |
| no-anonymous-default-export             | unicorn    |         |          | 🚧       |
| no-array-for-each                       | unicorn    |         |          | 🚧       |
| no-array-reduce                         | unicorn    |         |          |          |
| no-document-cookie                      | unicorn    |         |          |          |
| no-length-as-slice-end                  | unicorn    |         |          | 🛠️        |
| no-magic-array-flat-depth               | unicorn    |         |          |          |
| no-process-exit                         | unicorn    |         |          | 🚧       |
| no-useless-error-capture-stack-trace    | unicorn    |         |          | 💡       |
| prefer-modern-math-apis                 | unicorn    |         |          | 🚧       |
| prefer-module                           | unicorn    |         |          | 🚧       |
| prefer-node-protocol                    | unicorn    |         |          | 🛠️        |
| prefer-number-properties                | unicorn    |         |          | ⚠️🛠️️       |
| max-props                               | vue        |         |          |          |
| no-import-compiler-macros               | vue        |         |          | ⚠️🛠️️       |
| no-multiple-slot-args                   | vue        |         |          | 🚧       |

## Suspicious (50)
code that is most likely wrong or useless.
| Rule name                              | Source     | Default | Enabled? | Fixable? |
| -------------------------------------- | ---------- | ------- | -------- | -------- |
| block-scoped-var                       | eslint     |         |          |          |
| no-extend-native                       | eslint     |         |          |          |
| no-extra-bind                          | eslint     |         |          | 🚧       |
| no-new                                 | eslint     |         |          |          |
| no-shadow                              | eslint     |         |          |          |
| no-unexpected-multiline                | eslint     |         |          | ⚠️🛠️️       |
| no-unmodified-loop-condition           | eslint     |         |          |          |
| no-unneeded-ternary                    | eslint     |         |          | ⚠️🛠️️       |
| no-useless-concat                      | eslint     |         |          | 🚧       |
| no-useless-constructor                 | eslint     |         |          | 💡       |
| preserve-caught-error                  | eslint     |         |          | 🛠️        |
| no-absolute-path                       | import     |         |          | 🚧       |
| no-empty-named-blocks                  | import     |         |          | 🛠️        |
| no-named-as-default                    | import     |         |          |          |
| no-named-as-default-member             | import     |         |          |          |
| no-self-import                         | import     |         |          |          |
| no-unassigned-import                   | import     |         |          |          |
| no-commented-out-tests                 | jest       |         |          |          |
| approx-constant                        | oxc        |         |          | 💡       |
| misrefactored-assign-op                | oxc        |         |          | 💡       |
| no-async-endpoint-handlers             | oxc        |         |          |          |
| no-this-in-exported-function           | oxc        |         |          |          |
| always-return                          | promise    |         |          |          |
| no-multiple-resolved                   | promise    |         |          |          |
| no-promise-in-callback                 | promise    |         |          |          |
| iframe-missing-sandbox                 | react      |         |          | 🚧       |
| jsx-no-comment-textnodes               | react      |         |          |          |
| jsx-no-script-url                      | react      |         |          | 🚧       |
| no-namespace                           | react      |         |          |          |
| react-in-jsx-scope                     | react      |         |          |          |
| style-prop-object                      | react      |         |          |          |
| no-confusing-non-null-assertion        | typescript |         |          | 🚧       |
| no-extraneous-class                    | typescript |         |          | ⚠️💡      |
| no-unnecessary-boolean-literal-compare | typescript |         |          | 🚧       |
| no-unnecessary-template-expression     | typescript |         |          | 🚧       |
| no-unnecessary-type-arguments          | typescript |         |          | 🛠️        |
| no-unnecessary-type-assertion          | typescript |         |          | 🛠️        |
| no-unnecessary-type-constraint         | typescript |         |          | 🚧       |
| no-unsafe-enum-comparison              | typescript |         |          | 🚧       |
| no-unsafe-type-assertion               | typescript |         |          |          |
| consistent-function-scoping            | unicorn    |         |          | 🚧       |
| no-accessor-recursion                  | unicorn    |         |          |          |
| no-array-reverse                       | unicorn    |         |          | 🛠️        |
| no-array-sort                          | unicorn    |         |          | 🛠️        |
| no-instanceof-builtins                 | unicorn    |         |          | 💡       |
| prefer-add-event-listener              | unicorn    |         |          | 🚧       |
| require-module-specifiers              | unicorn    |         |          | 🛠️        |
| require-post-message-target-origin     | unicorn    |         |          | 💡       |
| no-required-prop-with-default          | vue        |         |          | 💡       |
| require-default-export                 | vue        |         |          |          |

## Pedantic (114)
Lints which are rather strict or have occasional false positives.
| Rule name                               | Source     | Default | Enabled? | Fixable? |
| --------------------------------------- | ---------- | ------- | -------- | -------- |
| accessor-pairs                          | eslint     |         |          |          |
| array-callback-return                   | eslint     |         |          | 🚧       |
| eqeqeq                                  | eslint     |         |          | ⚠️🛠️️       |
| max-classes-per-file                    | eslint     |         |          |          |
| max-depth                               | eslint     |         |          |          |
| max-lines                               | eslint     |         |          |          |
| max-lines-per-function                  | eslint     |         |          |          |
| max-nested-callbacks                    | eslint     |         |          |          |
| no-array-constructor                    | eslint     |         |          | 🛠️        |
| no-case-declarations                    | eslint     |         |          | 🚧       |
| no-constructor-return                   | eslint     |         |          |          |
| no-else-return                          | eslint     |         |          | 🛠️        |
| no-fallthrough                          | eslint     |         |          | 🚧       |
| no-inline-comments                      | eslint     |         |          |          |
| no-inner-declarations                   | eslint     |         |          |          |
| no-lonely-if                            | eslint     |         |          | 🚧       |
| no-loop-func                            | eslint     |         |          |          |
| no-negated-condition                    | eslint     |         |          | 🚧       |
| no-new-wrappers                         | eslint     |         |          | 🛠️        |
| no-object-constructor                   | eslint     |         |          | 🚧       |
| no-promise-executor-return              | eslint     |         |          | 🚧       |
| no-prototype-builtins                   | eslint     |         |          | 🚧       |
| no-redeclare                            | eslint     |         |          |          |
| no-self-compare                         | eslint     |         |          |          |
| no-throw-literal                        | eslint     |         |          | 💡       |
| no-useless-return                       | eslint     |         |          | 🚧       |
| no-warning-comments                     | eslint     |         |          |          |
| radix                                   | eslint     |         |          | ⚠️🛠️️       |
| require-await                           | eslint     |         |          | ⚠️🛠️️       |
| sort-vars                               | eslint     |         |          | 🚧       |
| symbol-description                      | eslint     |         |          |          |
| max-dependencies                        | import     |         |          |          |
| no-conditional-in-test                  | jest       |         |          |          |
| require-param                           | jsdoc      |         |          | 🚧       |
| require-param-description               | jsdoc      |         |          | 🚧       |
| require-param-name                      | jsdoc      |         |          |          |
| require-param-type                      | jsdoc      |         |          | 🚧       |
| require-returns                         | jsdoc      |         |          | 🚧       |
| require-returns-description             | jsdoc      |         |          |          |
| require-returns-type                    | jsdoc      |         |          |          |
| checked-requires-onchange-or-readonly   | react      |         |          |          |
| display-name                            | react      |         |          |          |
| jsx-no-target-blank                     | react      |         |          | 🚧       |
| jsx-no-useless-fragment                 | react      |         |          | 💡       |
| no-unescaped-entities                   | react      |         |          | 🚧       |
| rules-of-hooks                          | react      |         | ✅       |          |
| ban-ts-comment                          | typescript |         |          | 🛠️        |
| ban-types                               | typescript |         |          |          |
| no-confusing-void-expression            | typescript |         |          | 🛠️💡      |
| no-deprecated                           | typescript |         |          |          |
| no-misused-promises                     | typescript |         |          |          |
| no-mixed-enums                          | typescript |         |          |          |
| no-unsafe-argument                      | typescript |         |          |          |
| no-unsafe-assignment                    | typescript |         |          |          |
| no-unsafe-call                          | typescript |         |          |          |
| no-unsafe-function-type                 | typescript |         |          |          |
| no-unsafe-member-access                 | typescript |         |          |          |
| no-unsafe-return                        | typescript |         |          |          |
| only-throw-error                        | typescript |         |          |          |
| prefer-enum-initializers                | typescript |         |          | 💡       |
| prefer-includes                         | typescript |         |          | 🛠️        |
| prefer-nullish-coalescing               | typescript |         |          | 🛠️        |
| prefer-promise-reject-errors            | typescript |         |          |          |
| prefer-ts-expect-error                  | typescript |         |          | 🛠️        |
| related-getter-setter-pairs             | typescript |         |          |          |
| require-await                           | typescript |         |          | 🚧       |
| restrict-plus-operands                  | typescript |         |          |          |
| return-await                            | typescript |         |          | 🛠️💡      |
| strict-boolean-expressions              | typescript |         |          | 🚧       |
| switch-exhaustiveness-check             | typescript |         |          | 💡       |
| consistent-assert                       | unicorn    |         |          | 🛠️        |
| consistent-empty-array-spread           | unicorn    |         |          | 💡       |
| escape-case                             | unicorn    |         |          | 🛠️        |
| explicit-length-check                   | unicorn    |         |          | 🛠️        |
| new-for-builtins                        | unicorn    |         |          | 🚧       |
| no-array-callback-reference             | unicorn    |         |          | 🚧       |
| no-hex-escape                           | unicorn    |         |          | 🛠️        |
| no-immediate-mutation                   | unicorn    |         |          | 🚧       |
| no-instanceof-array                     | unicorn    |         |          | 🛠️        |
| no-lonely-if                            | unicorn    |         |          | 🚧       |
| no-negation-in-equality-check           | unicorn    |         |          | 💡       |
| no-new-buffer                           | unicorn    |         |          | 💡       |
| no-object-as-default-parameter          | unicorn    |         |          |          |
| no-static-only-class                    | unicorn    |         |          | ⚠️🛠️️       |
| no-this-assignment                      | unicorn    |         |          |          |
| no-typeof-undefined                     | unicorn    |         |          | 🛠️💡      |
| no-unnecessary-array-flat-depth         | unicorn    |         |          | 💡       |
| no-unnecessary-array-splice-count       | unicorn    |         |          | 🛠️        |
| no-unnecessary-slice-end                | unicorn    |         |          | 🛠️        |
| no-unreadable-iife                      | unicorn    |         |          |          |
| no-useless-promise-resolve-reject       | unicorn    |         |          | 🛠️        |
| no-useless-switch-case                  | unicorn    |         |          | 🚧       |
| no-useless-undefined                    | unicorn    |         |          | 🛠️        |
| prefer-array-flat                       | unicorn    |         |          | ⚠️🛠️️       |
| prefer-array-some                       | unicorn    |         |          | 🛠️        |
| prefer-at                               | unicorn    |         |          | ⚠️🛠️️       |
| prefer-blob-reading-methods             | unicorn    |         |          | 🚧       |
| prefer-code-point                       | unicorn    |         |          | 🛠️        |
| prefer-date-now                         | unicorn    |         |          | 🛠️        |
| prefer-dom-node-append                  | unicorn    |         |          | 🛠️        |
| prefer-dom-node-dataset                 | unicorn    |         |          | 🛠️        |
| prefer-dom-node-remove                  | unicorn    |         |          | 🚧       |
| prefer-event-target                     | unicorn    |         |          |          |
| prefer-math-min-max                     | unicorn    |         |          | 🛠️        |
| prefer-math-trunc                       | unicorn    |         |          | 💡       |
| prefer-native-coercion-functions        | unicorn    |         |          | 🚧       |
| prefer-prototype-methods                | unicorn    |         |          | 🛠️        |
| prefer-query-selector                   | unicorn    |         |          | 🛠️        |
| prefer-regexp-test                      | unicorn    |         |          | 🛠️        |
| prefer-string-replace-all               | unicorn    |         |          | 🛠️        |
| prefer-string-slice                     | unicorn    |         |          | 🛠️        |
| prefer-top-level-await                  | unicorn    |         |          | 🚧       |
| prefer-type-error                       | unicorn    |         |          | 🛠️        |
| require-number-to-fixed-digits-argument | unicorn    |         |          | 🛠️        |

## Style (197)
Code that should be written in a more idiomatic way.
| Rule name                            | Source     | Default | Enabled? | Fixable? |
| ------------------------------------ | ---------- | ------- | -------- | -------- |
| arrow-body-style                     | eslint     |         |          | 🛠️        |
| capitalized-comments                 | eslint     |         |          | 🛠️        |
| curly                                | eslint     |         |          | 🛠️        |
| default-case-last                    | eslint     |         |          |          |
| default-param-last                   | eslint     |         |          |          |
| func-names                           | eslint     |         |          | 🛠️💡      |
| func-style                           | eslint     |         |          | 🚧       |
| grouped-accessor-pairs               | eslint     |         |          | 🚧       |
